,entrance,dairy,drinks,fruit,spices,checkout
dairy,0.0,0.7395411605937922,0.05668016194331984,0.05236167341430499,0.04777327935222672,0.10364372469635627
drinks,0.0,0.011733333333333333,0.5861333333333333,0.0864,0.09333333333333334,0.2224
entrance,0.0,0.29511400651465797,0.14201954397394137,0.36872964169381106,0.19413680781758957,0.0
fruit,0.0,0.0884789156626506,0.051957831325301206,0.6080572289156626,0.05271084337349398,0.19879518072289157
spices,0.0,0.18916913946587538,0.15578635014836795,0.08827893175074183,0.413946587537092,0.15281899109792285
checkout,0.0,0.0,0.0,0.0,0.0,1.0
