,entrance,dairy,drinks,fruit,spices,checkout
dairy,0.0,0.7319417742378468,0.05740181268882175,0.04751441911562757,0.05383136500961275,0.10931062894809118
drinks,0.0,0.01228878648233487,0.6031746031746031,0.09421402969790067,0.08243727598566308,0.2078853046594982
entrance,0.0,0.30176355323318094,0.15610711952971915,0.37818419333768777,0.16394513389941215,0.0
fruit,0.0,0.10258481421647819,0.05331179321486268,0.5787560581583199,0.049273021001615507,0.21607431340872374
spices,0.0,0.1910931174089069,0.15789473684210525,0.08663967611336032,0.4089068825910931,0.15546558704453442
checkout,0.0,0.0,0.0,0.0,0.0,1.0
