,entrance,dairy,drinks,fruit,spices,checkout
dairy,0.0,0.7439198855507868,0.06237482117310444,0.05150214592274678,0.05236051502145923,0.08984263233190272
drinks,0.0,0.011235955056179775,0.6106497313141183,0.09086468001954079,0.07914020517830972,0.20810942843185148
entrance,0.0,0.2847270214236351,0.1603317208016586,0.359364201796821,0.19557705597788527,0.0
fruit,0.0,0.08795934323690383,0.0508209538702111,0.6071149335418295,0.04769351055512119,0.20641125879593433
spices,0.0,0.19136807817589577,0.1767100977198697,0.09690553745928339,0.38925081433224756,0.1457654723127036
checkout,0.0,0.0,0.0,0.0,0.0,1.0
