,entrance,dairy,drinks,fruit,spices,checkout
dairy,0.0,0.731489484298473,0.06395851339671564,0.049265341400172864,0.04868913857677903,0.1065975223278594
drinks,0.0,0.009420631182289214,0.6024493641073952,0.08195949128591616,0.09279321714554875,0.2133772962788507
entrance,0.0,0.2635761589403974,0.15496688741721854,0.3880794701986755,0.19337748344370861,0.0
fruit,0.0,0.1024006001500375,0.06301575393848462,0.6035258814703676,0.04951237809452363,0.18154538634658665
spices,0.0,0.18453292496171517,0.16845329249617153,0.09647779479326186,0.39509954058192953,0.1554364471669219
checkout,0.0,0.0,0.0,0.0,0.0,1.0
