,entrance,dairy,drinks,fruit,spices,checkout
dairy,0.0,0.7368573079145003,0.05257076834199884,0.04852686308492201,0.05430387059503177,0.10774119006354708
drinks,0.0,0.009837962962962963,0.5873842592592593,0.08622685185185185,0.08738425925925926,0.22916666666666666
entrance,0.0,0.29254571026722925,0.15471167369901548,0.3931082981715893,0.15963431786216598,0.0
fruit,0.0,0.09863945578231292,0.0548469387755102,0.5850340136054422,0.05442176870748299,0.2070578231292517
spices,0.0,0.21188630490956073,0.15676141257536608,0.08613264427217916,0.40223944875107664,0.1429801894918174
checkout,0.0,0.0,0.0,0.0,0.0,1.0
